# Chunk-averaged data for fix bowForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount c_bowComp
  14 42 -0.943732
  15 42 0.841658
  16 42 3.3566
  17 42 0.454286
  18 42 -1.79796
  19 42 -2.04889
  20 42 0.247538
6000 20 840
  1 42 0.934423
  2 42 0.506885
  3 42 0.529061
  4 42 -1.42367
  5 42 -4.04943
  6 42 -5.40766
  7 42 -4.75894
  8 42 1.74131
  9 42 1.10476
  10 42 3.48407
  11 42 0.787793
  12 42 2.38964
  13 42 -0.0127172
  14 42 -0.748836
  15 42 1.3071
  16 42 -3.19181
  17 42 0.758716
  18 42 -0.832657
  19 42 0.441095
  20 42 2.62944
6100 20 840
  1 42 -4.35992
  2 42 0.0626562
  3 42 1.86184
  4 42 2.59321
  5 42 -0.0622727
  6 42 -2.28747
  7 42 0.630414
  8 42 -0.911329
  9 42 2.78799
  10 42 3.11375
  11 42 -0.374086
  12 42 1.26638
  13 42 1.20004
  14 42 -0.481237
  15 42 1.81842
  16 42 0.742688
  17 42 0.688072
  18 42 -0.609789
  19 42 0.201579
  20 42 1.61178
6200 20 840
  1 42 -4.20778
  2 42 0.664638
  3 42 1.35787
  4 42 -0.651959
  5 42 0.261915
  6 42 -3.02673
  7 42 0.9937
  8 42 -0.269195
  9 42 3.08082
  10 42 -0.878093
  11 42 0.847913
  12 42 3.65581
  13 42 -2.47708
  14 42 0.80401
  15 42 3.11164
  16 42 -0.478348
  17 42 -1.02576
  18 42 -2.16412
  19 42 4.00191
  20 42 -1.60195
6300 20 840
  1 42 1.25234
