# Chunk-averaged data for fix netEndForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netEndForce
  20 42 -1.47301
5200 20 840
  1 42 0.571328
  2 42 -1.147
  3 42 -0.887311
  4 42 -0.0322659
  5 42 0.449682
  6 42 0.331881
  7 42 -0.387854
  8 42 0.343182
  9 42 -0.538161
  10 42 1.14001
  11 42 0.769951
  12 42 -0.568938
  13 42 -1.73083
  14 42 -0.0879138
  15 42 0.709552
  16 42 0.855039
  17 42 0.41577
  18 42 -0.905238
  19 42 0.524391
  20 42 -0.408768
5300 20 840
  1 42 0.276426
  2 42 0.614877
  3 42 0.144268
  4 42 -1.10861
  5 42 -1.26107
  6 42 1.85859
  7 42 0.546671
  8 42 0.591002
  9 42 -0.419449
  10 42 -0.45637
  11 42 1.54733
  12 42 -0.0706703
  13 42 0.684771
  14 42 0.237232
  15 42 0.100197
  16 42 0.417348
  17 42 -1.0117
  18 42 -0.496723
  19 42 -2.03647
  20 42 -0.712272
5400 20 840
  1 42 0.641898
  2 42 0.001818
  3 42 -0.171373
  4 42 0.135586
  5 42 0.0588262
  6 42 0.819304
  7 42 0.236449
  8 42 -0.273841
  9 42 -0.93557
  10 42 -1.46149
  11 42 -0.0206095
  12 42 -1.54446
  13 42 -0.420921
  14 42 -0.435892
  15 42 -0.374016
  16 42 2.44232
  17 42 -1.70808
  18 42 -1.95933
  19 42 -0.565016
  20 42 1.21687
5500 20 840
  1 42 -0.9262
  2 42 -0.257378
  3 42 0.292056
  4 42 0.55377
  5 42 -0.202173
  6 42 -0.524447
  7 42 0.794375
  8 42 -0.594145
  9 42 -0.400391
  10 42 0.412415
  11 42 -0.706574
  12 42 -0.412383
  13 42 -0.260277
  14 42 -1.17478
  15 42 -0.35496
  16 42 -1.94665
  17 42 -0.0129584
  18 42 -1.22946
  19 42 0.906897
  20 42 -0.959057
5600 20 840
  1 42 -0.244324
  2 42 0.699579
  3 42 -1.4753
  4 42 -1.57442
  5 42 1.55766
  6 42 1.32546
  7 42 2.23035
  8 42 -0.518901
  9 42 0.364873
  10 42 0.678936
  11 42 -0.0499059
  12 42 -0.538501
  13 42 -0.302819
  14 42 -0.560947
  15 42 0.398547
  16 42 -0.795918
  17 42 -1.51035
  18 42 0.4457
  19 42 -2.39374
  20 42 -2.26047
5700 20 840
  1 42 -0.914742
  2 42 1.2022
  3 42 -0.139416
  4 42 -1.41157
  5 42 0.0213486
  6 42 0.59284
  7 42 0.577382
  8 42 0.646725
  9 42 0.490933
  10 42 0.317993
  11 42 -0.124295
  12 42 0.526423
  13 42 0.558885
  14 42 -0.418114
  15 42 0.609549
