# Chunk-averaged data for fix sternForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount c_sternComp
  19 42 -1.61565
  20 42 -1.02611
4900 20 840
  1 42 -0.195399
  2 42 -0.223778
  3 42 1.70089
  4 42 2.42456
  5 42 1.96659
  6 42 0.701352
  7 42 -0.493894
  8 42 -1.96568
  9 42 -1.80586
  10 42 -0.402248
  11 42 0.646223
  12 42 0.146762
  13 42 -1.5365
  14 42 0.379023
  15 42 0.84679
  16 42 0.215668
  17 42 -1.31144
  18 42 0.502264
  19 42 0.471207
  20 42 -0.192327
5000 20 840
  1 42 -0.79402
  2 42 2.18166
  3 42 -0.167092
  4 42 -2.18802
  5 42 -0.652532
  6 42 1.08309
  7 42 1.10974
  8 42 1.28387
  9 42 0.350363
  10 42 1.58307
  11 42 -1.82234
  12 42 -1.70254
  13 42 -0.928481
  14 42 -2.39484
  15 42 -0.919401
  16 42 -0.0226028
  17 42 -0.151775
  18 42 1.41757
  19 42 0.387348
  20 42 0.0892945
5100 20 840
  1 42 -1.24045
  2 42 -3.04575
  3 42 0.151034
  4 42 -0.962978
  5 42 -1.75192
  6 42 -1.92069
  7 42 -0.0923887
  8 42 2.47768
  9 42 1.07331
  10 42 -0.0608057
  11 42 -0.555167
  12 42 -1.01505
  13 42 -1.53094
  14 42 1.00041
  15 42 -2.60958
  16 42 -0.853611
  17 42 -1.49046
  18 42 -0.0234154
  19 42 0.327298
  20 42 1.79511
5200 20 840
  1 42 -1.77175
  2 42 -0.937525
  3 42 -1.26617
  4 42 0.181988
  5 42 -1.21916
  6 42 2.76473
  7 42 -0.436169
  8 42 -0.689131
  9 42 1.16354
  10 42 -0.224379
  11 42 0.036969
  12 42 0.765741
  13 42 -1.26366
  14 42 1.2138
  15 42 0.0509568
  16 42 1.77893
  17 42 0.668933
  18 42 -1.51878
  19 42 0.187198
  20 42 0.606461
5300 20 840
  1 42 -0.966301
  2 42 0.250674
  3 42 1.61818
  4 42 -0.587099
  5 42 1.3693
  6 42 -0.330235
  7 42 -0.30515
  8 42 -0.291999
  9 42 -1.38354
  10 42 -0.440748
  11 42 -1.77099
  12 42 -1.62213
  13 42 0.794044
  14 42 -0.327215
  15 42 0.457848
  16 42 -1.62314
  17 42 0.726618
  18 42 -0.455455
  19 42 0.514168
  20 42 -0.0714974
5400 20 840
  1 42 0.737735
  2 42 -0.3434
  3 42 0.275888
  4 42 1.58618
  5 42 -2.80435
  6 42 -4.03462
  7 42 -0.985775
  8 42 -0.198173
  9 42 -1.95943
  10 42 0.53782
  11 42 -1.01347
  12 42 -1.32096
  13 42 0.413409
  14 42 -2.37687
  15 42 3.30769
  16 42 -2.24516
  17 42 0.802848
  18 42 -0.229414
  19 42 -0.207306
  20 42 -0.440546
5500 20 840
  1 42 0.103454
  2 42 -0.0696386
  3 42 0.449509
  4 42 -1.03209
  5 42 -0.0448395
  6 42 -2.50661
  7 42 0.731825
  8 42 0.0144534
  9 42 -2.08023
  10 42 -0.248139
  11 42 -1.97927
  12 42 -0.0849488
  13 42 0.670614
  14 42 -1.34568
  15 42 -0.85984
  16 42 0.920816
  17 42 -1.10814
  18 42 0.878995
  19 42 -1.07197
  20 42 0.8658
5600 20 840
  1 42 0.615833
  2 42 1.09544
  3 42 -1.83859
  4 42 0.0385188
  5 42 0.447222
  6 42 1.16985
  7 42 -0.233534
  8 42 -1.86197
  9 42 -1.65554
  10 42 -2.16032
  11 42 0.811084
  12 42 1.9752
  13 42 0.0432929
  14 42 0.374991
  15 42 -0.730587
  16 42 -0.887348
  17 42 1.82668
  18 42 -0.285791
  19 42 -1.3652
  20 42 -2.90211
5700 20 840
  1 42 -0.125175
  2 42 0.577966
  3 42 1.74828
  4 42 1.24433
  5 42 -0.676331
  6 42 0.196094
  7 42 0.6021
  8 42 0.042125
  9 42 2.09732
  10 42 -1.50149
  11 42 1.13529
  12 42 0.539674
